"_id","_labels",":START_ID",":END_ID",":TYPE"
,,"1359","0","FOLLOWS"
,,"0","1360","FOLLOWS"
,,"1363","0","FOLLOWS"
,,"0","1364","FOLLOWS"
,,"1366","0","FOLLOWS"
,,"0","1367","FOLLOWS"
,,"1369","0","FOLLOWS"
,,"0","1370","FOLLOWS"
,,"1373","0","FOLLOWS"
,,"0","1374","FOLLOWS"
,,"0","1376","FOLLOWS"
,,"1377","0","FOLLOWS"
,,"0","1381","FOLLOWS"
,,"1383","0","FOLLOWS"
,,"0","1384","FOLLOWS"
,,"1389","0","FOLLOWS"
,,"0","1390","FOLLOWS"
,,"1392","0","FOLLOWS"
,,"223","0","FOLLOWS"
,,"1399","0","FOLLOWS"
,,"1404","0","FOLLOWS"
,,"0","1405","FOLLOWS"
,,"0","1409","FOLLOWS"
,,"1410","0","FOLLOWS"
,,"0","1413","FOLLOWS"
,,"1414","0","FOLLOWS"
,,"0","1421","FOLLOWS"
,,"1423","0","FOLLOWS"
,,"0","1424","FOLLOWS"
,,"1425","0","FOLLOWS"
,,"1428","0","FOLLOWS"
,,"0","1429","FOLLOWS"
,,"1436","0","FOLLOWS"
,,"0","1435","FOLLOWS"
,,"0","1438","FOLLOWS"
,,"1439","0","FOLLOWS"
,,"1444","0","FOLLOWS"
,,"0","1443","FOLLOWS"
,,"1446","0","FOLLOWS"
,,"0","1448","FOLLOWS"
,,"1449","0","FOLLOWS"
,,"0","604","FOLLOWS"
,,"1455","0","FOLLOWS"
,,"0","1454","FOLLOWS"
,,"1458","0","FOLLOWS"
,,"0","1459","FOLLOWS"
,,"1463","0","FOLLOWS"
,,"0","1464","FOLLOWS"
,,"0","1466","FOLLOWS"
,,"1467","0","FOLLOWS"
,,"0","1470","FOLLOWS"
,,"1471","0","FOLLOWS"
,,"1476","0","FOLLOWS"
,,"0","1477","FOLLOWS"
,,"0","1480","FOLLOWS"
,,"1481","0","FOLLOWS"
,,"0","1483","FOLLOWS"
,,"1482","0","FOLLOWS"
,,"0","1485","FOLLOWS"
,,"1486","0","FOLLOWS"
,,"0","1489","FOLLOWS"
,,"1490","0","FOLLOWS"
,,"1491","0","FOLLOWS"
,,"0","1492","FOLLOWS"
,,"0","1495","FOLLOWS"
,,"1496","0","FOLLOWS"
,,"0","1499","FOLLOWS"
,,"1500","0","FOLLOWS"
,,"0","1503","FOLLOWS"
,,"1504","0","FOLLOWS"
,,"0","1506","FOLLOWS"
,,"1507","0","FOLLOWS"
,,"1509","0","FOLLOWS"
,,"0","1510","FOLLOWS"
,,"1513","0","FOLLOWS"
,,"0","1514","FOLLOWS"
,,"0","1518","FOLLOWS"
,,"1517","0","FOLLOWS"
,,"0","1521","FOLLOWS"
,,"1522","0","FOLLOWS"
,,"0","1523","FOLLOWS"
,,"1524","0","FOLLOWS"
,,"0","1527","FOLLOWS"
,,"1526","0","FOLLOWS"
,,"0","1531","FOLLOWS"
,,"1533","0","FOLLOWS"
,,"1535","0","FOLLOWS"
,,"0","1536","FOLLOWS"
,,"0","1540","FOLLOWS"
,,"1539","0","FOLLOWS"
,,"1543","0","FOLLOWS"
,,"0","1544","FOLLOWS"
,,"0","1546","FOLLOWS"
,,"1548","0","FOLLOWS"
,,"0","1553","FOLLOWS"
,,"1554","0","FOLLOWS"
,,"0","1555","FOLLOWS"
,,"1556","0","FOLLOWS"
,,"0","1558","FOLLOWS"
,,"1559","0","FOLLOWS"
,,"0","1561","FOLLOWS"
,,"1563","0","FOLLOWS"
,,"1564","0","FOLLOWS"
,,"1565","0","FOLLOWS"
,,"1566","0","FOLLOWS"
,,"0","1569","FOLLOWS"
,,"0","1576","FOLLOWS"
,,"1572","0","FOLLOWS"
,,"1577","0","FOLLOWS"
,,"0","1582","FOLLOWS"
,,"1585","0","FOLLOWS"
,,"0","1584","FOLLOWS"
,,"1590","0","FOLLOWS"
,,"0","1591","FOLLOWS"
,,"1594","0","FOLLOWS"
,,"0","1595","FOLLOWS"
,,"1596","0","FOLLOWS"
,,"1600","0","FOLLOWS"
,,"0","1599","FOLLOWS"
,,"1601","0","FOLLOWS"
,,"0","1602","FOLLOWS"
,,"1605","0","FOLLOWS"
,,"0","1606","FOLLOWS"
,,"1609","0","FOLLOWS"
,,"0","1610","FOLLOWS"
,,"1611","0","FOLLOWS"
,,"0","1612","FOLLOWS"
,,"0","1615","FOLLOWS"
,,"1616","0","FOLLOWS"
